state_fips,state,year,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share,manufacturing_share_imputed,natural_resources_share_imputed,period
42,Pennsylvania,2016,57656.626187534894,51649.36289358227,98087.22257675485,52476.61876528602,9.748021832217074,14.02584179642261,17.7116013412205,0.8521096825433065,False,False,Baseline_2015_2019
42,Pennsylvania,2017,58267.83733070925,51886.0,98443.20414216358,52932.0,9.698621670897479,13.962352583313029,17.964285289344613,0.868303707301949,False,False,Baseline_2015_2019
42,Pennsylvania,2018,58844.35541138527,53169.35075485749,98390.74910658714,53272.82345772917,9.722087541410444,13.871337777828526,18.21144374289233,0.897681458227068,False,False,Baseline_2015_2019
42,Pennsylvania,2019,59411.93726162851,53825.20987103815,99311.64649002628,54073.5350880281,9.711576302638658,13.898924461167399,18.396587815420176,0.895371058534613,False,False,Baseline_2015_2019
42,Pennsylvania,2020,56802.107117068146,57092.15883405265,99580.49918128744,57455.845385242515,9.80499366777375,14.080116372307574,19.138208695091325,0.8733935540104919,False,False,Shock_2020_2022
42,Pennsylvania,2021,58858.56152607265,57897.24087537365,100166.5389319073,57440.41687271653,9.63349895802454,14.35729803152916,18.492599983186807,0.8385004402401631,False,False,Shock_2020_2022
42,Pennsylvania,2022,59826.36427382938,54509.267225914475,98288.08551702532,55454.88742717535,9.625952098441253,14.523693668663688,18.131447274907888,0.8319642081425043,False,False,Shock_2020_2022
42,Pennsylvania,2023,60719.028985643155,54784.402859187016,97756.15342567334,54923.574115036994,9.506339432158459,14.24148248588177,18.589178066364614,0.8279352562779319,False,False,Post_Shock_2023_2024
42,Pennsylvania,2024,61569.97230076573,55367.64986977547,98600.34179741445,55209.02345954113,9.365155462706957,14.01571404935284,19.17846266908268,0.8122646530569936,False,False,Post_Shock_2023_2024
44,Rhode Island,2015,54185.54041325037,49691.671399097955,93125.17245284162,53031.06258200888,8.76418408403744,13.527780910292119,17.83221023828623,0.25403211289916117,False,True,Baseline_2015_2019
44,Rhode Island,2016,54165.115374559675,49548.541500872896,92561.1640951724,53165.99865837247,8.548898831024532,13.861463521797358,17.637081067836064,0.25403211289916117,False,True,Baseline_2015_2019
44,Rhode Island,2017,54162.13177526599,50414.0,91995.78618488504,53566.0,8.459617648660764,14.112141309949262,17.535958036039734,0.25403211289916117,False,True,Baseline_2015_2019
44,Rhode Island,2018,53799.97142396577,50889.04666138339,90546.7168778238,53113.7097731246,8.38446826934458,14.209594056095803,17.403736536197304,0.25403211289916117,False,True,Baseline_2015_2019
44,Rhode Island,2019,54959.52785543313,52851.08469551,92408.12965918535,53448.4075147561,8.188197793418142,14.056148818667403,17.567818004357154,0.25403211289916117,False,True,Baseline_2015_2019
44,Rhode Island,2020,53016.86203302,56141.270038754155,94412.15209938139,57636.74156044373,8.41861072110019,14.677835979407423,17.827024156676387,0.25403211289916117,False,False,Shock_2020_2022
44,Rhode Island,2021,55277.06421015126,57081.28988448905,94752.23212891052,56976.35605417573,8.42432553646588,14.76898330228386,17.354929966190575,0.2628424066790865,False,False,Shock_2020_2022
44,Rhode Island,2022,56012.65621087615,54055.302523449114,92407.4457953668,54642.44137294767,8.34707962322008,14.537272874588131,17.042352423017313,0.2636379123367585,False,False,Shock_2020_2022
44,Rhode Island,2023,56411.4229878231,54628.33798268472,90965.30920060331,53647.70352672448,8.274086409359887,14.263300089510478,17.364008594644528,0.2636379123367585,False,True,Post_Shock_2023_2024
44,Rhode Island,2024,57148.99384464367,55279.35043944798,92185.74543531727,53777.4787129928,8.051028012092598,14.010893030601055,17.800027868710103,0.2636379123367585,False,True,Post_Shock_2023_2024
45,South Carolina,2015,43960.08689240879,40951.75350291329,80876.3880854615,44796.862334769234,12.095917648307768,13.551134658986882,13.082747100976931,0.616499160718013,False,False,Baseline_2015_2019
45,South Carolina,2016,44935.03387251742,41620.162078606045,81682.97232747213,45201.87361201965,11.927233272403855,13.61761301048892,13.098101134250063,0.6127845706325261,False,False,Baseline_2015_2019
45,South Carolina,2017,45316.134480800974,42385.0,81523.26250197976,45585.0,11.814089137888933,13.885142587900503,13.105813718683995,0.6108067395094974,False,False,Baseline_2015_2019
45,South Carolina,2018,46151.680798915135,42772.29643140175,81465.62182850897,45063.33825819272,11.938711554284277,14.122407649725126,13.099881769847535,0.6053498546385853,False,False,Baseline_2015_2019
45,South Carolina,2019,47080.40814091506,44247.91028604732,82932.22924172695,45812.64678847049,12.128752047062116,14.104357782546233,13.21564986326306,0.5894975322539968,False,False,Baseline_2015_2019
45,South Carolina,2020,45458.83937465218,46183.456499144166,82586.97062799819,48313.48528462856,12.050890489886546,13.987882887969228,13.607466515716398,0.6134984450511602,False,False,Shock_2020_2022
45,South Carolina,2021,47322.99311597649,48295.79540170498,83681.70639708266,48666.682215743436,11.924210224694955,14.27608109076148,13.369898994722892,0.5850665011103418,False,False,Shock_2020_2022
45,South Carolina,2022,48517.78904612006,45689.620884659416,83956.8268118991,47882.38765782236,11.972627341580212,14.18674335680395,13.18408154041565,0.5621121813280479,False,False,Shock_2020_2022
45,South Carolina,2023,49350.35592133113,46445.389921956536,84102.54626958624,47666.55735768062,11.728009258227331,13.944669966128654,13.480911593023162,0.5515795780480868,False,False,Post_Shock_2023_2024
45,South Carolina,2024,50640.58243642078,47391.78893745079,86723.42950076591,48655.33034311053,11.544591179855127,13.741464082944537,13.862053539968073,0.5302434418813531,False,False,Post_Shock_2023_2024
46,South Dakota,2015,59693.742818612984,49959.52594117721,85820.15510154494,41000.3603117076,10.238209701456661,7.591221575885775,16.150665833373395,1.493918561607615,False,False,Baseline_2015_2019
46,South Dakota,2016,59571.068505630654,49312.62038190553,85832.03714276625,41625.26859633261,10.026399657517956,7.654235836940494,16.325928744708175,1.5283261190125101,False,False,Baseline_2015_2019
46,South Dakota,2017,59321.29172250355,49408.0,85845.74905114976,42033.0,10.19695187330321,7.619369971762579,16.598538660178136,1.5730587068539064,False,False,Baseline_2015_2019
46,South Dakota,2018,59340.734672612416,50349.23152281697,85118.95689625504,42171.95952323113,10.409742180747529,7.797586004164646,16.734711086438665,1.6000393509897477,False,False,Baseline_2015_2019
46,South Dakota,2019,59502.58700987891,52165.55369107828,86059.86308486805,42887.39490802129,10.455759711892346,7.913660701623047,16.845183984822736,1.6242092267917798,False,False,Baseline_2015_2019
46,South Dakota,2020,60090.920559400234,56442.44796395826,88028.44673250336,45810.298944017064,10.341843046618012,8.078313657418507,17.429008468155708,1.7111332751527242,False,False,Shock_2020_2022
46,South Dakota,2021,62496.05323199855,60778.39819906262,89625.21360136705,45753.86382256338,10.169774794222922,8.250349345180894,17.06034734892272,1.7047116335427084,False,False,Shock_2020_2022
46,South Dakota,2022,60778.568254512975,58458.4251080624,86188.00731215802,44666.943944234685,10.177894824734219,8.520582135595438,16.716200998810724,1.7757888821940437,False,False,Shock_2020_2022
46,South Dakota,2023,62384.839262579015,59691.59742961977,87034.18249921712,44490.55667504644,10.006958173645089,8.43882881788361,16.64770656387714,1.8734054185396671,False,False,Post_Shock_2023_2024
46,South Dakota,2024,62255.82724811511,58995.7406220811,87077.74054701561,45090.53387272107,9.832344000104676,8.340275385011275,16.958596295343227,1.8518922360966334,False,False,Post_Shock_2023_2024
47,Tennessee,2015,50722.313556494046,43370.71788099588,86918.32461112818,47793.93748127771,11.785768233294258,13.984372728439634,14.089826317159291,0.4005392529177029,False,False,Baseline_2015_2019
47,Tennessee,2016,51482.047102239274,43852.73162866083,86932.47911932081,47982.88316590766,11.8629564706689,14.03128521335266,14.018922664465187,0.3748588002994715,False,False,Baseline_2015_2019
47,Tennessee,2017,52732.09734037976,44407.0,88127.08420582041,48392.0,11.887618000008189,13.938092047171343,14.014211179242643,0.36677753015081893,False,False,Baseline_2015_2019
47,Tennessee,2018,53234.12831620949,45341.543166857155,87948.02100770277,48839.115755434934,11.793318460983933,14.067807029418967,13.973178039221482,0.371226471662195,False,False,Baseline_2015_2019
47,Tennessee,2019,53944.07233977135,46887.444349264835,88818.46381365937,49121.41251755282,11.703742927956904,14.092419350105658,13.91153594933946,0.3814180058445847,False,False,Baseline_2015_2019
