state_fips,state,period,real_gdp_per_capita_growth,real_income_per_capita_growth,total_employment_growth,real_average_wage_growth
42,Pennsylvania,Shock_2020_2022,0.29063293008862257,0.5426650107122771,0.6307283737807868,0.9238301120085576
44,Rhode Island,Baseline_2015_2019,0.36086195500959206,1.564116151181938,0.9450490152048074,0.1981507159303758
44,Rhode Island,Post_Shock_2023_2024,1.009703783710303,1.125901555322728,1.6919230541623587,-0.7892732660109592
44,Rhode Island,Shock_2020_2022,0.6863972407552321,0.8661939663913006,0.847476094012182,0.8647201695916262
45,South Carolina,Baseline_2015_2019,1.7305171081590576,1.9583836904038698,2.255916700778371,0.5675285364654808
45,South Carolina,Post_Shock_2023_2024,2.165212616705925,1.8458984980249116,2.422668202982803,0.8118013815556491
45,South Carolina,Shock_2020_2022,1.0604217697122793,1.183948679533379,2.0164416962004292,1.5261091801576938
46,South Dakota,Baseline_2015_2019,-0.07981794133862796,1.1027562752620068,0.7321808400903934,1.1326874379984309
46,South Dakota,Post_Shock_2023_2024,1.2180122112644354,0.47186633994376614,1.6831222935362877,0.4768275603616423
46,South Dakota,Shock_2020_2022,0.74769756601204,4.0212220686938345,1.677747184353662,1.4388416714525067
47,Tennessee,Baseline_2015_2019,1.5529059553899272,1.9723164223224177,1.9422945335576258,0.6874810127052766
47,Tennessee,Post_Shock_2023_2024,1.5927416501205438,2.300165849357061,1.9757130379595367,0.6554671508505194
47,Tennessee,Shock_2020_2022,3.00855604836053,1.9511098963930145,2.5300300615141507,1.7333393378533752
48,Texas,Baseline_2015_2019,1.2359560460346004,1.4087703730702061,2.190882984137199,0.5609466768644711
48,Texas,Post_Shock_2023_2024,4.031074629442788,1.0369597943050035,2.4948626833598775,0.5746322374642676
48,Texas,Shock_2020_2022,1.6132454432451002,1.5418598500886487,2.902684447871344,0.637265905819114
49,Utah,Baseline_2015_2019,3.579560391302733,2.86802868299052,3.038258395736565,1.4007300051246063
49,Utah,Post_Shock_2023_2024,2.0802761860252095,1.7281157510844691,1.9976701086406368,0.6654629474910689
49,Utah,Shock_2020_2022,2.5278356968049476,3.388991665395398,3.6268850042062035,1.779438671613387
50,Vermont,Baseline_2015_2019,0.7629486941917563,1.13266762001914,0.05291866428413783,0.9661963885577884
50,Vermont,Post_Shock_2023_2024,2.189261021497768,2.2322275150996274,1.565647276193305,0.465988954485258
50,Vermont,Shock_2020_2022,1.29575002229854,0.9710991600192879,-0.09014833876433226,2.0877905437086155
51,Virginia,Baseline_2015_2019,1.4266809151842919,1.1862469599064451,1.3043448001567148,0.6773222090510345
51,Virginia,Post_Shock_2023_2024,2.11744986539113,1.7909733447898701,2.0863006253818983,0.869953652853217
51,Virginia,Shock_2020_2022,2.015084154580867,1.4435820298115336,1.3323249247518414,1.0042502052032758
53,Washington,Baseline_2015_2019,3.8119672598936507,2.924138375665286,2.2624262705198905,2.8613382571746557
53,Washington,Post_Shock_2023_2024,3.5687545572765433,2.374821997641696,1.554145910802729,2.676916680606789
53,Washington,Shock_2020_2022,2.373478672540308,1.6886451544073386,1.2280379066948381,1.9651812596324907
54,West Virginia,Baseline_2015_2019,1.614074177132041,1.6204740466907341,-0.6249008010184048,0.927168376745946
54,West Virginia,Post_Shock_2023_2024,3.471396860678988,1.5353027053196966,1.6181265608657958,1.1437053874904568
54,West Virginia,Shock_2020_2022,0.6905105079443122,1.0268184730387706,0.1923734349581633,-0.16367497063758027
55,Wisconsin,Baseline_2015_2019,0.9928644723971092,1.4011643195295242,0.6372554455495366,0.8000090061488274
55,Wisconsin,Post_Shock_2023_2024,1.353233666697351,1.139030762546378,1.3296323158589307,-0.08942987828579607
55,Wisconsin,Shock_2020_2022,0.7619079176948781,1.1567943199055224,0.4870975252613448,0.9477796029287037
56,Wyoming,Baseline_2015_2019,-0.5450786177457589,0.6157201351572466,0.12023778833753218,-0.12258671463965531
56,Wyoming,Post_Shock_2023_2024,2.337912148797172,1.9129640804683157,1.900965903526397,1.2886720274334684
56,Wyoming,Shock_2020_2022,-1.0789338914417874,3.205237792080743,1.8857895523967623,-0.22520193089550591
