state_fips,state,period,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share
31,Nebraska,Baseline_2015_2019,63883.15595733984,50436.53955789324,93653.21153415515,46709.29660501791,10.120317843692776,12.290422902002586,14.691126925442074,1.586388703542529
31,Nebraska,Post_Shock_2023_2024,73927.958579625,57164.51434133334,105360.64244441256,49048.73472713828,10.32455075294524,12.373872670914743,14.98815803922141,1.6320844765160016
31,Nebraska,Shock_2020_2022,68082.53333323677,55685.49721145501,100459.43814567324,50111.05624529111,10.366336352566455,12.448258691059209,14.75650128052713,1.6537483905623924
32,Nevada,Baseline_2015_2019,55040.918156653715,47173.99687597675,91496.67009788546,49643.152772446236,3.7249544093909415,13.765237045191146,9.899541069702572,1.3630579459629153
32,Nevada,Post_Shock_2023_2024,63188.16004284417,54245.64230040578,95573.74801422343,52783.73611259761,4.303555055960265,14.16001482587582,10.699001370332368,1.2967172218356562
32,Nevada,Shock_2020_2022,57477.974993637115,53169.35209517559,94773.73790842213,53713.19823663927,4.40773033667628,14.132523634700279,10.737075934504931,1.46066969228478
33,New Hampshire,Baseline_2015_2019,60067.02778186563,58192.13021287791,92731.27181303906,54396.215665452204,10.61588325267647,12.473644367423832,14.728267631191311,0.3961826515041353
33,New Hampshire,Post_Shock_2023_2024,67105.53789485645,64414.064307616994,99649.79447332551,59439.129009025215,10.129758422615144,14.526223677695782,14.669077055634911,0.3869050736397306
33,New Hampshire,Shock_2020_2022,63804.347654593694,64666.176831971396,99411.71419659631,61508.0787632899,10.551050720120637,13.761762628891008,14.725123658680674,0.4163114430896728
34,New Jersey,Baseline_2015_2019,65066.813619707886,62112.168730388104,109444.20859867652,63823.52357258374,6.078106937122802,16.66378624892019,14.974907917175235,0.3173801014520315
34,New Jersey,Post_Shock_2023_2024,70797.14069196672,65909.76541999743,110369.6309907177,64707.85944004377,5.971235523667488,16.84264880246053,15.843092467502977,0.3124381332710807
34,New Jersey,Shock_2020_2022,67471.34719104435,66877.8247908094,111967.15181040492,67853.31175088276,6.130896579916108,17.40888575507537,15.272715245900011,0.30991478884177565
35,New Mexico,Baseline_2015_2019,45303.711350234065,39794.57131748858,86450.73685961275,45245.800759690916,3.3466618774080494,13.144674880324171,17.097230439031577,4.236931833512451
35,New Mexico,Post_Shock_2023_2024,54896.12410970144,45121.43327607097,99095.79195867263,48269.33827230012,3.3229792056497574,14.398818201725213,17.155173599016862,3.8548714244062223
35,New Mexico,Shock_2020_2022,47841.1227324217,44870.002825073716,92279.11396661708,48501.681919510556,3.4780409190338477,14.239396430047309,17.55700776823487,3.765203845296977
36,New York,Baseline_2015_2019,80805.47743186663,61362.37187413543,131118.250483655,70098.50198768101,4.791632066211069,14.289156627086708,17.469406498483366,0.33383191751240526
36,New York,Post_Shock_2023_2024,91316.50671418337,66075.14631622887,137136.94397730724,73622.12684304293,4.328483150625828,14.579474294452329,19.721942144484352,0.35389556497886376
36,New York,Shock_2020_2022,87161.27916124725,66866.71787578893,140945.58142056662,76999.93126338499,4.59778900414916,14.636258633809549,19.073091672090456,0.3598100931297137
37,North Carolina,Baseline_2015_2019,53732.89483519849,44421.61755954662,92191.44267425612,50017.78870661524,10.829846048440547,14.418891981269613,14.092062513508896,0.7132353986411498
37,North Carolina,Post_Shock_2023_2024,59619.49272821237,50683.13736715795,96057.07201023666,54363.357132478115,9.605771542954042,15.37267036692427,14.001126207542551,0.5852532951855635
37,North Carolina,Shock_2020_2022,56231.190378073814,50119.34942253102,94162.65557561135,54581.26120856579,10.276719961098088,15.245565158905514,13.910742009970214,0.6342886562810364
38,North Dakota,Baseline_2015_2019,74922.84227322866,53436.64149813112,99033.22917525042,50296.27534401134,6.02920263034065,8.397226582057568,15.255260591338265,5.741323207485509
38,North Dakota,Post_Shock_2023_2024,79393.50603813169,56995.127618615385,104335.93225274532,50267.87070792106,6.697051922375524,8.466459850348183,16.159323418045723,5.441269532452273
38,North Dakota,Shock_2020_2022,73140.4021028385,58878.178215383494,100060.88316257084,50524.98038687997,6.534589557970468,8.468667691564706,16.619289563670563,4.921191949620934
39,Ohio,Baseline_2015_2019,55460.580771744986,46194.791365961544,93171.74094702686,50073.94881671004,12.904993931941789,13.715068685965658,16.411641012799922,0.5292528097126712
39,Ohio,Post_Shock_2023_2024,60415.26478872413,50101.09764898295,96604.7400451407,52028.65119636255,12.450522561978651,13.584621447197165,16.669530789117076,0.5100394453370425
39,Ohio,Shock_2020_2022,57803.70853545538,50311.58500843672,96683.6322215341,53252.71744466488,12.700588090450509,13.896136088765319,16.465950389143803,0.4965126666931847
40,Oklahoma,Baseline_2015_2019,49591.83969756089,44747.712533927595,84647.99373589452,46439.58940450707,8.524896857859071,12.067348873459796,13.726977865690134,3.746036970409956
40,Oklahoma,Post_Shock_2023_2024,51146.82916899002,49360.69162329,84742.70045388566,46609.91731255315,8.412577236930833,12.667954060252093,14.517893435262641,2.4137712174981445
40,Oklahoma,Shock_2020_2022,48445.705565500575,48411.973213442216,83466.91578552751,47263.03000831688,8.391761148408412,12.554373961509869,14.057263223657705,2.5050962466268576
41,Oregon,Baseline_2015_2019,54179.87303336964,47745.67899679924,89481.99647196557,52132.80193763075,10.174914486119977,13.211700690953105,14.556376237951747,2.9867860515046987
41,Oregon,Post_Shock_2023_2024,61223.66774969868,54874.34607795453,96711.22708118582,56316.013505271156,9.43471775620026,13.543319062528457,15.917731781983823,2.942120869702012
41,Oregon,Shock_2020_2022,58206.576355269644,54560.676057280514,96682.25947946555,57711.487952101015,9.946027174077331,13.65580591586592,15.315543914425774,3.0972501867450872
42,Pennsylvania,Baseline_2015_2019,58218.9790777814,52301.21113913019,98396.81645572613,53115.63364427999,9.772314552697527,13.921236617848354,17.952467550227055,0.9042107476070782
42,Pennsylvania,Post_Shock_2023_2024,61144.50064320445,55076.026364481244,98178.24761154389,55066.298787289066,9.435747447432707,14.128598267617305,18.883820367723647,0.8200999546674628
