state_fips,state,period,PC1,PC2,PC3,PC4
22,Louisiana,Shock_2020_2022,-1.2875851456946452,0.7547473828032443,0.195051553836049,-0.8947283201591292
23,Maine,Shock_2020_2022,-1.1518678793212547,0.2799113136997471,1.103129921882232,-0.7226644355054361
24,Maryland,Shock_2020_2022,2.7022898971981246,-1.2100752266692572,-0.9349128909331115,-0.9773584195427215
25,Massachusetts,Shock_2020_2022,5.230077921369672,-0.3090158370120451,1.2969303105438614,-0.5569439486496142
26,Michigan,Shock_2020_2022,-0.5509107380292687,-1.436173208246988,0.5339030801126508,0.39361486664902573
27,Minnesota,Shock_2020_2022,1.006747438101225,-0.013498425470928492,1.4800385154596518,0.0997591640022985
28,Mississippi,Shock_2020_2022,-3.649370212508438,-0.46410605435866964,0.6191857170989725,-0.07982755750772619
29,Missouri,Shock_2020_2022,-0.7517455140754543,-0.7493401828198583,0.7465775077844529,-0.6696812457263918
30,Montana,Shock_2020_2022,-1.9489353527021904,1.5874222543449117,-0.6632573785549336,-0.8793504026757932
31,Nebraska,Shock_2020_2022,0.1551072774386944,0.44105157208478357,0.08160177641052345,0.9119341324582139
32,Nevada,Shock_2020_2022,0.09917771819159378,-0.12803350788492876,-2.596201383785004,0.21769115503728773
33,New Hampshire,Shock_2020_2022,1.4812628865464268,-0.7672953186666808,0.3752975938740668,0.6980947319747411
34,New Jersey,Shock_2020_2022,3.2478980148863714,-0.9900118697557299,-0.21315542355674144,-0.5211982522490531
35,New Mexico,Shock_2020_2022,-1.1571691868862253,1.3358622148897323,-0.4703109794609255,-2.1417379790236812
36,New York,Shock_2020_2022,5.404923309637823,0.650418168440405,1.6393686885547787,-0.6478531051841938
37,North Carolina,Shock_2020_2022,-0.1277897081406567,-1.3283646533223998,-0.4443403289461358,0.13436669690232994
38,North Dakota,Shock_2020_2022,0.13913570911790388,3.191705694756974,0.3495978887333759,0.5806483459800797
39,Ohio,Shock_2020_2022,-0.261102679232607,-1.0985632021743117,1.1234401253175363,0.1344611922583731
40,Oklahoma,Shock_2020_2022,-1.7520190746120037,0.39074234376110323,-0.8953065583122846,-0.09432531644732225
41,Oregon,Shock_2020_2022,0.05055926769013619,0.6542599406067316,-0.15798952553597845,0.28298042529761647
42,Pennsylvania,Shock_2020_2022,0.6260706768353522,-0.21205772175253548,1.5069370851998063,-0.8488161444850276
44,Rhode Island,Shock_2020_2022,0.45059127635178303,-0.9486096881285316,0.95783782167975,-1.0826531848436167
45,South Carolina,Shock_2020_2022,-1.6452190733048184,-1.6175420120889805,-0.44772939966489117,0.3100989746890337
46,South Dakota,Shock_2020_2022,-1.0512723104235342,1.5104676576966005,1.318000260701226,0.5551938513492198
47,Tennessee,Shock_2020_2022,-0.43134384751479526,-1.5432959532961859,-0.13351125716139178,0.4277671035336754
48,Texas,Shock_2020_2022,0.8429071580087915,0.04418896398603864,-1.2189610600078082,0.09797147840622684
49,Utah,Shock_2020_2022,-0.07318159644901913,-0.9735161504200133,-1.5558335277807702,0.7891411393694246
